time,Precipitation (mm),Wind Direction (°),Wind Speed (km/h),Pressure (hPa),Avg Temp (°F),Min Temp (°F),Max Temp (°F)
2016-12-01,0.2,,9.7,1008.9,52.88,42.08,62.06
2016-12-02,0.0,,5.1,1017.8,44.78,33.08,53.96
2016-12-03,0.0,,6.1,1023.2,43.7,37.04,51.08
2016-12-04,1.9,,5.1,1023.7,38.66,30.92,44.96
2016-12-05,2.1,,5.2,1016.8,46.04,39.02,57.92
2016-12-06,,29.0,10.1,,42.08,39.92,46.04
2016-12-07,0.0,,2.8,1015.8,44.42,37.04,55.04
2016-12-08,0.0,,5.0,1018.3,40.1,35.96,46.94
2016-12-09,0.0,,10.1,1027.6,33.26,28.04,39.92
2016-12-10,0.0,,3.8,1032.2,30.56,24.98,37.94
2016-12-11,0.0,,2.6,1030.1,31.82,26.06,37.04
2016-12-12,2.0,220.0,13.7,1014.2,48.38,39.02,62.96
2016-12-13,,,3.5,1019.2,43.52,39.02,48.02
2016-12-14,0.0,,4.5,1016.6,41.18,30.92,48.92
2016-12-15,0.0,,14.3,1020.6,28.76,17.96,42.98
2016-12-16,0.0,,9.3,1030.1,23.0,15.08,28.94
2016-12-17,,203.0,15.2,1015.9,39.92,28.94,53.96
2016-12-18,,233.0,17.4,1016.2,55.22,39.02,66.92
2016-12-19,0.0,,9.0,1036.7,33.98,30.02,37.94
2016-12-20,0.0,,3.1,,,,
2016-12-21,0.0,,5.0,1023.0,40.64,24.98,55.94
2016-12-22,0.0,,11.1,1019.0,47.66,37.94,62.96
2016-12-23,0.0,,8.0,1030.5,39.74,30.02,48.92
2016-12-24,,,8.3,1023.7,44.24,39.92,50.0
2016-12-25,0.3,,3.0,1031.5,42.8,35.96,48.02
2016-12-26,0.0,,6.8,,44.78,42.08,48.92
2016-12-27,0.0,,14.4,1015.5,57.74,48.92,68.0
2016-12-28,0.0,,3.8,1018.9,45.68,35.96,53.06
2016-12-29,5.9,,8.0,1009.4,41.18,33.08,53.96
2016-12-30,0.0,,13.5,1013.0,38.66,33.08,42.98
2016-12-31,0.0,200.0,18.2,1018.5,37.58,26.06,48.02
2017-01-01,0.0,,9.2,1021.2,47.3,37.94,57.92
2017-01-02,,39.0,11.2,,44.6,42.98,46.94
2017-01-03,,,9.5,,45.5,42.98,48.02
2017-01-04,0.3,,10.1,1004.5,49.46,35.96,57.02
2017-01-05,0.0,,6.5,1014.0,35.24,32.0,37.94
2017-01-06,,,7.5,1018.1,32.0,28.94,35.96
2017-01-07,,10.0,12.3,,22.1,17.06,28.04
2017-01-08,0.0,,5.9,1034.1,18.14,8.96,24.98
2017-01-09,0.0,,9.6,1039.4,17.42,8.06,24.98
2017-01-10,0.0,,11.5,1030.9,28.76,19.04,39.02
2017-01-11,,194.0,12.5,1024.9,43.52,37.04,51.08
2017-01-12,0.0,193.0,24.0,1021.0,59.0,48.92,71.06
2017-01-13,,,9.1,1029.9,55.04,44.96,60.98
2017-01-14,,,4.4,1033.1,39.02,35.96,42.08
2017-01-15,0.5,,4.0,1027.8,41.18,37.94,44.06
2017-01-16,,,6.5,1028.7,42.08,39.02,44.96
2017-01-17,,199.0,8.9,1019.2,47.3,41.0,55.04
2017-01-18,0.0,,8.9,1014.2,55.22,44.96,62.06
2017-01-19,0.0,,3.5,1017.4,44.6,32.0,55.04
2017-01-20,,,5.8,1012.6,46.76,42.08,51.98
2017-01-21,0.6,,4.4,1010.6,49.46,48.02,51.98
2017-01-22,,29.0,8.8,1003.5,50.9,48.92,53.96
2017-01-23,,26.0,23.7,996.7,45.86,39.02,51.08
2017-01-24,0.0,,12.5,1001.4,46.76,39.02,55.94
2017-01-25,0.0,,9.8,1005.2,55.04,41.0,69.98
2017-01-26,0.0,,14.9,1002.5,52.16,42.98,62.96
2017-01-27,0.0,,9.9,1010.2,40.64,35.96,42.98
2017-01-28,0.0,,9.7,1008.7,39.74,32.0,48.92
2017-01-29,0.0,,6.8,1007.4,39.92,35.06,46.94
2017-01-30,,,7.9,1012.4,33.44,26.96,39.02
2017-01-31,0.0,,8.4,1010.7,42.62,24.98,62.06
2017-02-01,0.0,,7.1,1015.3,52.16,46.04,59.0
2017-02-02,0.0,,8.7,1019.9,47.48,39.92,53.96
2017-02-03,0.0,,9.3,1023.6,36.14,30.02,39.02
2017-02-04,0.0,,8.2,1029.3,32.18,21.92,42.98
2017-02-05,0.0,,13.4,1017.6,43.34,30.92,55.04
2017-02-06,0.0,,8.7,1018.1,53.24,41.0,66.92
2017-02-07,0.0,197.0,21.1,1008.4,62.78,53.06,75.02
2017-02-08,0.0,,10.8,1003.2,64.4,55.94,71.96
2017-02-09,,332.0,18.2,1009.6,39.92,26.96,55.04
2017-02-10,0.0,,9.7,1025.4,30.56,23.0,35.96
2017-02-11,0.0,,8.6,1014.7,49.82,33.98,69.98
2017-02-12,0.0,,11.3,1009.0,61.16,51.08,78.98
2017-02-13,0.0,,14.6,1016.6,46.22,39.02,55.04
2017-02-14,0.0,,9.3,1013.0,43.16,35.96,50.0
2017-02-15,0.0,258.0,11.4,1001.6,45.68,39.92,55.04
2017-02-16,0.0,,12.0,1009.3,37.58,33.98,44.06
2017-02-17,0.0,,6.5,1012.2,45.14,30.02,64.04
2017-02-18,0.0,,5.5,1010.4,54.14,33.08,71.96
2017-02-19,0.0,,8.8,1012.6,64.4,53.96,73.94
2017-02-20,0.0,,7.2,1021.5,60.44,51.98,73.04
2017-02-21,0.0,,7.2,1023.3,51.98,42.08,60.08
2017-02-22,,194.0,11.2,1014.7,54.32,46.94,62.96
2017-02-23,0.0,193.0,13.2,1011.4,62.6,53.06,77.0
2017-02-24,0.0,189.0,14.1,1010.4,64.76,51.98,77.0
2017-02-25,0.0,228.0,18.1,1004.0,61.52,44.96,75.02
2017-02-26,0.0,,7.7,1019.1,42.98,33.98,53.96
